,0,1,2,3,4,5,6,7
0,Asia,Yield,Day,Weekly,Monthly,YoY,Date,
1,Japan,0.6700,0.0180,0.04%,0.21%,0.46%,Aug/22,
2,India,7.2180,0.0020,-0.03%,0.15%,-0.06%,Aug/22,
3,China,2.5560,0.0130,-0.03%,-0.10%,-0.08%,Aug/22,
4,Singapore,3.2610,0.0280,0.11%,0.31%,0.45%,Aug/22,
5,South,Korea,3.9860,0.0090,0.09%,0.35%,0.62%,Aug/22
6,Taiwan,1.2500,0.0500,0.09%,0.14%,0.06%,Aug/22,
7,Thailand,2.6000,0.0000,0.00%,0.07%,0.03%,Aug/16,
8,Vietnam,2.6840,0.0330,0.07%,0.09%,-0.96%,Aug/22,
9,Hong,Kong,4.1210,0.0210,0.02%,0.38%,1.19%,Aug/22
10,Indonesia,6.6870,0.1060,0.28%,0.44%,-0.47%,Aug/22,
11,Israel,3.9980,0.0120,0.03%,0.35%,1.28%,Aug/22,
12,Malaysia,3.8770,0.0050,-0.01%,0.01%,-0.12%,Aug/22,
13,Pakistan,16.2470,0.0350,0.28%,0.44%,3.70%,Aug/22,
14,Philippines,6.5030,0.0000,0.04%,0.24%,0.54%,Aug/22,
