,0,1,2,3,4,5,6,7
0,BTC,Price,Day,%,Weekly,Monthly,YoY,Date
1,Bitcoin,25986,134,-0.51%,-10.91%,-13.77%,21.00%,Aug/22
2,BTCETH,15.6597,0.0360,0.23%,-1.72%,-0.90%,17.06%,Aug/22
3,BTCEUR,23892.4,90.5,-0.38%,-10.69%,-9.30%,10.89%,Aug/22
4,BTCGBP,20394.7,85.0,-0.41%,-11.18%,-10.19%,12.36%,Aug/22
5,BTCAUD,40479.6,256.2,-0.63%,-10.44%,-6.38%,30.63%,Aug/22
6,BTCCAD,35266.9,107.1,-0.30%,-10.42%,-8.07%,26.79%,Aug/22
7,BTCCNY,190289,16,-0.01%,-10.91%,-9.10%,29.29%,Aug/22
8,BTCJPY,3794885,"23,039",-0.60%,-10.63%,-7.92%,29.19%,Aug/22
9,BTCNZD,43743.5,333.0,-0.76%,-10.79%,-6.90%,26.53%,Aug/22
10,BTCCHF,22880.8,60.2,-0.26%,-10.66%,-9.71%,10.55%,Aug/22
11,BTCMXN,441620,"2,938",-0.66%,-11.67%,-9.90%,2.97%,Aug/22
12,BTCINR,2161110,"9,180",-0.42%,-10.96%,-9.32%,26.03%,Aug/22
13,BTCBRL,129793,265,-0.20%,-10.92%,-5.77%,19.16%,Aug/22
14,BTCRUB,2452154,"10,075",0.41%,-14.22%,-6.96%,92.72%,Aug/22
15,BTCKRW,34803073,"175,190",-0.50%,-11.34%,-6.72%,22.66%,Aug/22
16,BTCIDR,398789828,"1,364,742",-0.34%,-11.30%,-8.88%,26.85%,Aug/22
17,BTCTRY,708724,140,-0.02%,-10.16%,-9.66%,82.36%,Aug/22
18,BTCSAR,97755,210,-0.21%,-10.65%,-13.51%,21.21%,Aug/22
19,BTCSEK,284250,"1,675",-0.59%,-10.21%,-6.27%,24.58%,Aug/22
20,BTCNGN,19793440,"369,749",1.90%,-12.01%,-14.21%,122.93%,Aug/22
21,BTCPLN,106666,566,-0.53%,-10.87%,-8.94%,3.84%,Aug/22
22,BTCARS,9133293,"28,574",0.31%,8.18%,13.74%,216.45%,Aug/21
23,BTCNOK,276074,788,-0.28%,-10.15%,-5.75%,32.40%,Aug/22
24,BTCTWD,832596,"1,695",-0.20%,-10.54%,-8.82%,28.41%,Aug/22
25,BTCIRR,1094002140,"3,027,360",-0.28%,-11.30%,-12.68%,23.33%,Aug/22
