,0,1,2,3,4,5,6,7,8,9
0,Crypto,Price,Day,%,Weekly,Monthly,YoY,MarketCap,Date,
1,Bitcoin,25981,138,-0.53%,-10.93%,-13.79%,20.98%,"$493,429M",Aug/22,
2,Ether,1653.50,18.30,-1.09%,-9.54%,-12.65%,0.39%,"$198,158M",Aug/22,
3,Binance,207.8,9.8,-4.50%,-13.27%,-13.85%,-30.41%,"$34,226M",Aug/22,
4,Cardano,0.25682,0.00640,-2.43%,-8.90%,-18.98%,-44.69%,"$8,738M",Aug/22,
5,Solana,20.7600,0.4800,-2.26%,-13.03%,-16.16%,-41.93%,"$6,525M",Aug/22,
6,Ripple,0.51200,0.01010,-1.93%,-15.19%,-30.43%,48.28%,"$24,731M",Aug/22,
7,Polkadot,4.37,0.06,-1.45%,-9.16%,-18.99%,-42.80%,"$4,324M",Aug/22,
8,Avalanche,10.13,0.24,-2.31%,-14.30%,-25.35%,-56.93%,"$2,489M",Aug/22,
9,Polygon,0.54,0.03,-4.46%,-16.04%,-29.42%,-35.67%,"$3,963M",Aug/22,
10,Cosmos,7.33,0.23,-3.01%,-9.71%,-21.10%,-39.52%,"$2,556M",Aug/22,
11,Dai,0.99977,0.00010,0.01%,-0.04%,-0.01%,-0.02%,"$9,731M",Aug/22,
12,Litecoin,65.760,1.020,-1.53%,-17.38%,-29.53%,15.35%,"$4,607M",Aug/22,
13,Uniswap,4.66,0.11,-2.36%,-21.72%,-24.40%,-34.48%,"$2,980M",Aug/22,
14,Algorand,0.10,0.00,0.68%,-15.22%,-16.22%,-67.42%,$627M,Aug/22,
15,Bitcoin,Cash,185.80,0.14,-0.08%,-18.81%,-25.72%,39.13%,"$3,531M",Aug/22
16,Stellar,0.11965,0.00550,-4.40%,-8.13%,-23.32%,7.93%,"$3,051M",Aug/22,
17,Monero,147.629,1.651,-1.11%,-5.04%,-8.30%,-4.64%,"$2,740M",Aug/22,
18,Chainlink,6.1483,0.0281,-0.45%,-12.74%,-22.11%,-15.03%,$258M,Aug/22,
19,Tether,1.00,0.00,-0.03%,0.06%,-0.03%,-0.04%,"$77,945M",Aug/22,
20,USD,Coin,1.00,0.00,0.01%,0.00%,0.01%,-0.01%,"$50,630M",Aug/22
