,0,1,2,3,4,5,6,7
0,ETH,Price,Day,%,Weekly,Monthly,YoY,Date
1,Ether,1653.50,18.30,-1.09%,-9.54%,-12.65%,0.39%,Aug/22
2,ETHBTC,0.0638571,0.0001481,-0.23%,1.75%,0.91%,-14.58%,Aug/22
3,ETHEUR,1526.78,8.25,-0.54%,-8.92%,-8.72%,-7.61%,Aug/22
4,ETHGBP,1302.37,8.44,-0.64%,-9.49%,-9.67%,-6.45%,Aug/22
5,ETHAUD,2579.98,27.32,-1.05%,-8.90%,-6.03%,8.55%,Aug/22
6,ETHCAD,2249.33,14.79,-0.65%,-8.83%,-7.66%,5.44%,Aug/22
7,ETHCNY,12147.5,33.0,-0.27%,-9.24%,-8.61%,7.61%,Aug/22
8,ETHJPY,242338,"2,030",-0.83%,-8.92%,-7.40%,7.56%,Aug/22
9,ETHNZD,2790.93,30.20,-1.07%,-9.17%,-6.45%,5.26%,Aug/22
10,ETHCHF,1459.48,8.86,-0.60%,-9.06%,-9.30%,-8.06%,Aug/22
11,ETHMXN,28178.9,275.2,-0.97%,-10.06%,-9.45%,-14.34%,Aug/22
12,ETHINR,137904,"1,005",-0.72%,-9.33%,-8.87%,4.86%,Aug/22
13,ETHBRL,8277.8,46.6,-0.56%,-9.47%,-5.35%,1.66%,Aug/22
14,ETHRUB,156520,214,0.14%,-12.62%,-6.47%,60.38%,Aug/22
15,ETHKRW,2222976,"15,815",-0.71%,-9.77%,-6.17%,4.81%,Aug/22
16,ETHIDR,25448282,"163,694",-0.64%,-9.81%,-8.43%,8.29%,Aug/22
17,ETHTRY,45220.7,150.3,-0.33%,-8.52%,-9.21%,51.70%,Aug/22
18,ETHSAR,6236.2,34.0,-0.54%,-9.04%,-12.16%,0.82%,Aug/22
19,ETHSEK,18148.5,152.2,-0.83%,-8.51%,-5.75%,3.71%,Aug/22
20,ETHNGN,1263500,"20,283",1.63%,-10.50%,-13.76%,90.36%,Aug/22
21,ETHPLN,6820.3,43.1,-0.63%,-9.06%,-8.30%,-13.43%,Aug/22
22,ETHARS,584578,"4,123",0.71%,10.18%,14.87%,154.65%,Aug/21
23,ETHNOK,17613.5,107.1,-0.60%,-8.52%,-5.30%,10.13%,Aug/22
24,ETHTWD,53087.6,311.4,-0.58%,-8.98%,-8.44%,6.75%,Aug/22
25,ETHIRR,69812400,"403,200",-0.57%,-9.81%,-11.95%,5.28%,Aug/22
