,0,1,2,3,4,5,6,7
0,Major,Price,Day,%,Weekly,Monthly,YoY,Date
1,EURUSD,1.08475,0.00440,-0.40%,-0.52%,-1.94%,8.83%,Aug/22
2,GBPUSD,1.27312,0.00230,-0.18%,0.22%,-0.79%,7.61%,Aug/22
3,AUDUSD,0.64242,0.00120,0.19%,-0.46%,-4.67%,-7.30%,Aug/22
4,NZDUSD,0.59423,0.00160,0.28%,-0.11%,-4.19%,-4.34%,Aug/22
5,USDJPY,145.838,0.332,-0.23%,0.18%,3.11%,6.62%,Aug/22
6,USDCNY,7.30705,0.02120,0.29%,-0.21%,1.71%,6.62%,Aug/22
7,USDCHF,0.88028,0.00200,0.23%,0.26%,1.22%,-8.67%,Aug/22
8,USDCAD,1.35557,0.00130,0.09%,0.43%,2.96%,4.66%,Aug/22
9,USDMXN,16.9111,0.1089,-0.64%,-1.34%,0.54%,-15.32%,Aug/22
10,USDINR,83.0060,0.0840,-0.10%,-0.25%,1.49%,3.96%,Aug/22
11,USDBRL,4.92840,0.05090,-1.02%,-1.13%,4.26%,-3.43%,Aug/22
12,USDRUB,93.4750,0.0205,-0.02%,-4.62%,3.35%,57.76%,Aug/22
13,USDKRW,1338.24,0.91,-0.07%,0.14%,4.51%,-0.07%,Aug/22
14,USDTRY,27.1966,0.0576,0.21%,0.56%,1.02%,50.28%,Aug/22
15,DXY,103.5995,0.2995,0.29%,0.38%,2.48%,-4.63%,Aug/22
16,USDSEK,10.95176,0.00510,0.05%,0.92%,5.23%,3.08%,Aug/22
17,USDPLN,4.11781,0.01240,0.30%,0.36%,2.44%,-13.91%,Aug/22
18,USDNOK,10.63477,0.03510,0.33%,0.96%,5.80%,9.53%,Aug/22
19,USDZAR,18.7708,0.1891,-1.00%,-1.87%,5.83%,10.53%,Aug/22
20,USDDKK,6.87096,0.03290,0.48%,0.55%,2.03%,-7.89%,Aug/22
21,USDSGD,1.35817,0.00080,0.06%,0.01%,2.02%,-2.40%,Aug/22
22,USDILS,3.79060,0.01620,0.43%,1.70%,3.54%,16.23%,Aug/22
23,USDHKD,7.83900,0.00110,0.01%,0.20%,0.33%,-0.10%,Aug/22
24,USDCLP,865.100,5.000,-0.57%,0.30%,4.54%,-5.51%,Aug/22
25,USDPKR,299.000,1.370,0.46%,3.01%,4.87%,37.92%,Aug/22
26,USDCZK,22.2064,0.1814,0.82%,0.60%,1.95%,-10.17%,Aug/22
27,USDHUF,351.863,0.793,0.23%,-1.02%,3.11%,-15.25%,Aug/22
