,0,1,2,3,4,5,6,7
0,Major10Y,Yield,Day,Weekly,Monthly,YoY,Date,
1,United,States,4.3340,0.0080,0.11%,0.48%,1.28%,Aug/22
2,United,Kingdom,4.6730,0.0580,0.08%,0.42%,2.10%,Aug/22
3,Japan,0.6700,0.0180,0.04%,0.21%,0.46%,Aug/22,
4,Australia,4.2690,0.0020,0.00%,0.28%,0.65%,Aug/22,
5,Germany,2.6590,0.0470,-0.02%,0.27%,1.34%,Aug/22,
6,Brazil,11.3100,0.0800,0.20%,0.46%,-0.82%,Aug/22,
7,Russia,11.8000,0.0200,-0.12%,0.35%,2.53%,Aug/22,
8,India,7.2180,0.0020,-0.03%,0.15%,-0.06%,Aug/22,
9,Canada,3.8040,0.0250,0.05%,0.31%,0.76%,Aug/22,
10,Italy,4.3250,0.0830,-0.04%,0.30%,0.68%,Aug/22,
11,France,3.1870,0.0620,-0.03%,0.24%,1.27%,Aug/22,
12,South,Africa,10.4750,0.0600,0.12%,0.22%,0.14%,Aug/22
13,Switzerland,1.0530,0.0330,-0.02%,0.13%,0.26%,Aug/22,
14,Turkey,18.2800,0.0800,-0.31%,0.34%,4.99%,Aug/22,
15,South,Korea,3.9860,0.0090,0.09%,0.35%,0.62%,Aug/22
16,Spain,3.6930,0.0640,-0.02%,0.26%,1.19%,Aug/22,
17,Mexico,9.4980,0.0040,0.33%,0.66%,0.59%,Aug/22,
18,Netherlands,3.0040,0.0510,-0.01%,0.26%,1.37%,Aug/22,
19,New,Zealand,5.1740,0.0900,0.19%,0.56%,1.39%,Aug/22
20,Portugal,3.3790,0.0710,-0.03%,0.25%,0.97%,Aug/22,
21,Greece,3.9810,0.0340,-0.01%,0.23%,0.04%,Aug/22,
