Unnamed: 0,GDP Growth Rate by Country,Interest Rate,Inflation Rate,Unemployment Rate,Country List Government Debt to GDP,Country List Current Account to GDP,Credit Rating
Namibia,5.81,7.75,6.3,20.8,68.9,-12.3,B1
Botswana,5.6,2.65,5.7,25.4,26.1,3.1,BBB+
Hong Kong,5.3,5.5,2.0,3.0,26.1,10.7,AA+
Poland,3.8,6.75,11.5,5.1,49.1,-3.0,AA+
Mauritius,3.4,4.5,7.9,6.7,86.0,-13.8,Baa3
Dominican Republic,3.33,7.75,4.4,4.8,58.56,-5.8,BB
Bahrain,3.2,6.0,0.7,6.6,120.0,9.1,B+
Senegal,3.0,5.0,8.3,22.0,75.0,-17.5,B+
Qatar,2.7,6.0,2.61,0.1,46.9,26.0,AA
Ukraine,2.4,25.0,15.3,10.5,78.4,-1.3,CCC
Ecuador,2.34,9.03,1.69,4.0,56.0,2.2,B-
Paraguay,2.3,8.5,4.2,6.5,32.7,-5.2,BB
China,2.2,3.55,0.2,5.2,76.9,2.2,BB
Luxembourg,2.0,3.55,3.2,5.0,24.5,5.0,BB
United States,2.0,5.25,4.0,3.6,129.0,-3.7,BB
Brazil,1.9,13.75,3.94,8.3,72.87,-2.92,BB
India,1.9,6.5,4.25,7.7,89.26,-2.6,BB
Kenya,1.9,10.5,7.9,4.9,67.3,-6.0,B
Thailand,1.9,2.0,0.23,1.05,60.96,-0.5,BBB+
Portugal,1.6,2.0,3.4,7.2,114.0,-1.3,BBB+
Albania,1.4,3.0,4.7,10.9,67.0,-7.8,B+
Colombia,1.4,13.25,12.36,10.5,61.1,-6.2,B+
Croatia,1.4,13.25,7.7,5.6,68.4,-3.3,BBB+
Ghana,1.1,29.5,42.2,3.9,88.8,-3.2,SD
Moldova,1.1,6.0,16.3,5.5,32.1,-13.1,B3
Philippines,1.1,6.25,5.4,4.3,60.9,-4.4,BBB+
Bosnia and Herzegovina,1.0,3.88,6.5,29.03,19.6,-4.3,BBB+
Jamaica,1.0,7.0,6.1,6.6,86.2,-3.2,B+
Mexico,1.0,11.25,5.06,2.9,49.6,-0.9,B+
Malaysia,0.9,3.0,2.8,3.5,60.4,2.6,A-
Canada,0.8,4.75,3.4,5.4,113.0,-0.4,A-
Chile,0.8,11.25,7.6,8.5,38.0,-9.0,A-
Cyprus,0.8,11.25,1.9,4.9,86.5,-9.1,A-
Tunisia,0.8,8.0,9.3,15.2,80.0,-8.6,A-
Israel,0.77,4.75,4.6,3.6,60.9,2.5,AA-
Argentina,0.7,97.0,114.0,6.9,85.0,-0.7,AA-
Cape Verde,0.7,1.0,3.8,13.6,127.0,-3.4,AA-
El Salvador,0.7,5.02,4.42,7.2,78.03,-8.3,CCC+
Japan,0.7,-0.1,3.2,2.6,264.0,1.9,CCC+
Denmark,0.6,3.1,2.9,2.4,30.1,13.2,CCC+
Italy,0.6,3.1,6.4,7.6,145.0,-1.3,CCC+
Latvia,0.6,3.1,12.1,6.4,40.8,-6.4,CCC+
Slovenia,0.6,3.1,6.9,5.0,69.9,-0.4,CCC+
Spain,0.6,3.1,1.9,13.26,113.0,0.6,CCC+
Sweden,0.6,3.75,9.7,7.9,33.0,4.3,CCC+
