,GDP Growth Rate by Country,Interest Rate,Inflation Rate,Unemployment Rate,Country List Government Debt to GDP,Country List Current Account to GDP,Credit Rating,Employed Persons,Labor Force Participation Rate,Population,Unemployed Persons,Youth Unemployment Rate,Wages,Minimum Wages,Productivity,Retirement Age Men,Retirement Age Women,Wages in Manufacturing,Employment Change,Employment Rate,Full Time Employment,Job Vacancies,Labour Costs,Long Term Unemployment Rate,Part Time Employment,Wage Growth,Asylum Applications,Initial Jobless Claims,Non Farm Payrolls,Balance of Trade
Namibia,5.81,7.75,6.3,20.8,68.9,-12.3,B1,725742,71.2,2.6,364411,46.1,,,,,,,,,,,,,,,,,,
Botswana,5.6,2.65,5.7,25.4,26.1,3.1,BBB+,486376,,2.34,,,6803,,,,,,,,,,,,,,,,,
Hong Kong,5.3,5.5,2,3,,10.7,AA+,3674,57.6,7.35,113,5,17728,37.5,110,65,65,15847,,,,,,,,,,,,
Poland,3.8,6.75,11.5,5.1,49.1,-3,,16852,58.4,37.65,804,10.3,7124,746,127,65,60,6837,0.4,72,15440,56.9,150,0.9,956,12.2,565,,,
Mauritius,3.4,4.5,7.9,6.7,86,-13.8,Baa3,552,,1.26,39.4,,37451,,102,,,112,,93.3,,5096,114,,,,,,,
Dominican Republic,3.33,7.75,4.4,4.8,58.56,-5.8,BB,,63.6,10.62,,,,,,,,,,60.6,,,,,,,,,,
Bahrain,3.2,6,0.7,6.6,120,9.1,B+,607632,,1.46,,,810,,,,,,,,,,,,,,,,,
Senegal,3,5,8.3,22,75,-17.5,B+,,,17.7,,,124618,,,,,,,,,,,,,,,,,
Qatar,2.7,6,2.61,0.1,46.9,26,AA,2163247,,2.75,,,,1000,,,,,,,,,,,,,,,,
Ukraine,2.4,25,15.3,10.5,78.4,-1.3,CCC,14957,61.8,41,119,,,6700,,60,60,,,65.3,,,,,,18.16,,,,
Ecuador,2.34,9.03,1.69,4,56,2.2,B-,,65.5,17.8,,,467,450,,,,450,,44.3,,,,,,,,,,
Paraguay,2.3,8.5,4.2,6.5,32.7,-5.2,BB,3507495,,7.35,242982,,,,,,,332,,,,,,,,,,,,
China,2.2,3.55,0.2,5.2,76.9,2.2,,,,1412,,20.8,114029,2590,,60,55,97528,,,,,72.9,,,,,,,
Luxembourg,2,,3.2,5,24.5,5,,515960,62,0.65,15188,18.5,5871,2387,93.45,65,65,120,0.6,70.6,257,,117,1.5,58.1,,180,,,
United States,2,5.25,4,3.6,129,-3.7,,160994,62.6,334,5957,7.5,28.75,7.25,113,66.33,66.33,26.18,,60.3,134477,10642,128,0.66,26443,5.74,253834,248,209,
